DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Yeas Nays,0.5,,Win,,,,6,L,0,-0.5,323,4341.7,7.40%,323.00%,"$32,301.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Eloura,0.5,,Place,,,,12,L,0,-0.5,322.5,4342.2,7.40%,322.50%,"$32,251.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Girl Sunday,1.5,,Win,,,,4.8,L,0,-1.5,321,4343.7,7.40%,321.00%,"$32,101.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Hetty Heights,0.5,,Win,,,,9,L,0,-0.5,320.5,4344.2,7.40%,320.50%,"$32,051.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Inseatatea,1,,Win,,,,5,W,5,4,324.5,4345.2,7.50%,324.50%,"$32,451.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Mana,0.5,,Win,,,,16,L,0,-0.5,324,4345.7,7.50%,324.00%,"$32,401.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Pick Me Up,0.5,,Win,,,,9,W,4.5,4,328,4346.2,7.50%,328.00%,"$32,801.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Sonic Swish,0.5,,Win,,,,9,L,0,-0.5,327.5,4346.7,7.50%,327.50%,"$32,751.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Hawkesbury,,,Colane,2.5,,Win,,,,3.6,L,0,-2.5,325,4349.2,7.50%,325.00%,"$32,501.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Hawkesbury,,,Varuska,2.5,,Win,,,,2.8,W,7,4.5,329.5,4351.7,7.60%,329.50%,"$32,951.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Cessnock,,,Almaldol,0.5,,Win,,,,20,L,0,-0.5,329,4352.2,7.60%,329.00%,"$32,901.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Cessnock,,,Almaldol,0.5,,Place,,,,5,L,0,-0.5,328.5,4352.7,7.50%,328.50%,"$32,851.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
